team1,team2,team1_winrate,team2_winrate,draw_rate,team1_score_mean,team1_score_std,team2_score_mean,team2_score_std,score_diff_mean,score_diff_std,natural,trunc_lead,trunc_tie,deterministic
IPPO,MAPPO,1.0,0.0,0.0,28.0,0.0,-28.0,0.0,56.0,0.0,50,0,0,True
MAPPO,IPPO,0.0,1.0,0.0,-24.0,0.0,18.0,0.0,-42.0,0.0,50,0,0,True
IPPO,QMIX,1.0,0.0,0.0,24.0,0.0,-24.0,0.0,48.0,0.0,0,50,0,True
QMIX,IPPO,1.0,0.0,0.0,32.0,0.0,-34.0,0.0,66.0,0.0,50,0,0,True
IPPO,IPPO_POOL,0.0,1.0,0.0,-4.0,0.0,2.0,0.0,-6.0,0.0,0,50,0,True
IPPO_POOL,IPPO,1.0,0.0,0.0,4.0,0.0,-4.0,0.0,8.0,0.0,0,50,0,True
IPPO,MAPPO_POOL,1.0,0.0,0.0,12.0,0.0,-12.0,0.0,24.0,0.0,50,0,0,True
MAPPO_POOL,IPPO,0.0,1.0,0.0,-6.0,0.0,6.0,0.0,-12.0,0.0,0,50,0,True
IPPO,RANDOM,0.96,0.02,0.020000000000000035,16.4,8.333066662399863,-16.4,8.333066662399863,32.8,16.666133324799727,49,0,1,False
RANDOM,IPPO,0.6,0.4,0.0,3.6,11.027239001672177,-3.6,11.027239001672177,7.2,22.054478003344354,45,5,0,False
MAPPO,QMIX,0.0,1.0,0.0,-42.0,0.0,42.0,0.0,-84.0,0.0,50,0,0,True
QMIX,MAPPO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,True
MAPPO,IPPO_POOL,0.0,1.0,0.0,-36.0,0.0,34.0,0.0,-70.0,0.0,50,0,0,True
IPPO_POOL,MAPPO,1.0,0.0,0.0,26.0,0.0,-30.0,0.0,56.0,0.0,0,50,0,True
MAPPO,MAPPO_POOL,0.0,1.0,0.0,-30.0,0.0,22.0,0.0,-52.0,0.0,50,0,0,True
MAPPO_POOL,MAPPO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,True
MAPPO,RANDOM,0.02,0.98,0.0,-28.52,9.004976401967967,28.52,9.004976401967967,-57.04,18.009952803935935,39,11,0,False
RANDOM,MAPPO,0.94,0.06,5.551115123125783e-17,21.0,11.49086593777858,-21.0,11.49086593777858,42.0,22.98173187555716,35,15,0,False
QMIX,IPPO_POOL,1.0,0.0,0.0,28.0,0.0,-28.0,0.0,56.0,0.0,50,0,0,True
IPPO_POOL,QMIX,1.0,0.0,0.0,8.0,0.0,-8.0,0.0,16.0,0.0,0,50,0,True
QMIX,MAPPO_POOL,0.0,1.0,0.0,-14.0,0.0,12.0,0.0,-26.0,0.0,0,50,0,True
MAPPO_POOL,QMIX,0.0,1.0,0.0,-2.0,0.0,2.0,0.0,-4.0,0.0,0,50,0,True
QMIX,RANDOM,0.56,0.4,0.039999999999999925,3.6,18.02664694279,-3.92,18.075220607229113,7.52,36.0900207813739,15,33,2,False
RANDOM,QMIX,0.6,0.3,0.10000000000000003,6.2,12.876334882255899,-6.2,12.876334882255899,12.4,25.752669764511797,16,29,5,False
IPPO_POOL,MAPPO_POOL,0.0,1.0,0.0,-2.0,0.0,2.0,0.0,-4.0,0.0,0,50,0,True
MAPPO_POOL,IPPO_POOL,1.0,0.0,0.0,20.0,0.0,-28.0,0.0,48.0,0.0,50,0,0,True
IPPO_POOL,RANDOM,0.88,0.1,0.01999999999999999,11.28,8.843166853565526,-11.36,8.87639566490814,22.64,17.71525895943946,40,9,1,False
RANDOM,IPPO_POOL,0.78,0.2,0.019999999999999962,8.2,10.223502335305646,-8.36,10.27377243275322,16.56,20.490153732951836,44,5,1,False
MAPPO_POOL,RANDOM,0.8,0.14,0.05999999999999994,10.44,10.010314680368445,-10.44,10.010314680368445,20.88,20.02062936073689,24,23,3,False
RANDOM,MAPPO_POOL,0.52,0.46,0.019999999999999962,1.76,11.075305864850867,-1.76,11.075305864850867,3.52,22.150611729701733,21,28,1,False
