team1,team2,team1_winrate,team2_winrate,draw_rate,team1_score_mean,team1_score_std,team2_score_mean,team2_score_std,score_diff_mean,score_diff_std,natural,trunc_lead,trunc_tie,deterministic
IPPO,MAPPO,1.0,0.0,0.0,28.0,0.0,-28.0,0.0,56.0,0.0,5,0,0,True
MAPPO,IPPO,0.0,1.0,0.0,-24.0,0.0,18.0,0.0,-42.0,0.0,5,0,0,True
IPPO,QMIX,1.0,0.0,0.0,24.0,0.0,-24.0,0.0,48.0,0.0,0,5,0,True
QMIX,IPPO,1.0,0.0,0.0,32.0,0.0,-34.0,0.0,66.0,0.0,5,0,0,True
IPPO,IPPO_PIXEL,1.0,0.0,0.0,4.0,0.0,-312.0,0.0,316.0,0.0,0,5,0,True
IPPO_PIXEL,IPPO,0.0,1.0,0.0,-314.0,0.0,2.0,0.0,-316.0,0.0,0,5,0,True
IPPO,MAPPO_PIXEL,1.0,0.0,0.0,0.0,0.0,-322.0,0.0,322.0,0.0,0,5,0,True
MAPPO_PIXEL,IPPO,0.0,1.0,0.0,-312.0,0.0,4.0,0.0,-316.0,0.0,0,5,0,True
IPPO,IPPO_POOL,0.0,1.0,0.0,-4.0,0.0,2.0,0.0,-6.0,0.0,0,5,0,True
IPPO_POOL,IPPO,1.0,0.0,0.0,4.0,0.0,-4.0,0.0,8.0,0.0,0,5,0,True
IPPO,MAPPO_POOL,1.0,0.0,0.0,12.0,0.0,-12.0,0.0,24.0,0.0,5,0,0,True
MAPPO_POOL,IPPO,0.0,1.0,0.0,-6.0,0.0,6.0,0.0,-12.0,0.0,0,5,0,True
IPPO,RANDOM,1.0,0.0,0.0,12.4,5.571355310873647,-12.4,5.571355310873647,24.8,11.142710621747295,4,1,0,False
RANDOM,IPPO,0.8,0.2,-5.551115123125783e-17,6.4,6.974238309665077,-6.4,6.974238309665077,12.8,13.948476619330155,4,1,0,False
MAPPO,QMIX,0.0,1.0,0.0,-42.0,0.0,42.0,0.0,-84.0,0.0,5,0,0,True
QMIX,MAPPO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,True
MAPPO,IPPO_PIXEL,1.0,0.0,0.0,0.0,0.0,-302.0,0.0,302.0,0.0,0,5,0,True
IPPO_PIXEL,MAPPO,0.0,1.0,0.0,-310.0,0.0,-2.0,0.0,-308.0,0.0,0,5,0,True
MAPPO,MAPPO_PIXEL,1.0,0.0,0.0,0.0,0.0,-326.0,0.0,326.0,0.0,0,5,0,True
MAPPO_PIXEL,MAPPO,0.0,1.0,0.0,-324.0,0.0,0.0,0.0,-324.0,0.0,0,5,0,True
MAPPO,IPPO_POOL,0.0,1.0,0.0,-36.0,0.0,34.0,0.0,-70.0,0.0,5,0,0,True
IPPO_POOL,MAPPO,1.0,0.0,0.0,26.0,0.0,-30.0,0.0,56.0,0.0,0,5,0,True
